/Out X,/Out Y,/in X,/in Y
0,0.999972176,0,0
0.02,0.999956205,0.02,0.02
0.04,0.999929479,0.04,0.04
0.06,0.999884858,0.06,0.06
0.08,0.999810523,0.08,0.08
0.1,0.999687021,0.1,0.1
0.12,0.999482671,0.12,0.12
0.14,0.999146047,0.14,0.14
0.16,0.998594541,0.16,0.16
0.18,0.997697016,0.18,0.18
0.2,0.996248136,0.2,0.2
0.22,0.993931377,0.22,0.22
0.24,0.990267018,0.24,0.24
0.26,0.984540069,0.26,0.26
0.28,0.97569817,0.28,0.28
0.3,0.962190359,0.3,0.3
0.32,0.941614748,0.32,0.32
0.34,0.909980005,0.34,0.34
0.36,0.858850406,0.36,0.36
0.38,0.769469093,0.38,0.38
0.4,0.654757799,0.4,0.4
0.42,0.569303991,0.42,0.42
0.44,0.505263443,0.44,0.44
0.46,0.44907582,0.46,0.46
0.48,0.396551687,0.48,0.48
0.5,0.346597415,0.5,0.5
0.52,0.298984425,0.52,0.52
0.54,0.253985999,0.54,0.54
0.56,0.212401572,0.56,0.56
0.58,0.175749566,0.58,0.58
0.6,0.14601683,0.6,0.6
0.62,0.123855241,0.62,0.62
0.64,0.107702787,0.64,0.64
0.66,0.095634204,0.66,0.66
0.68,0.086338368,0.68,0.68
0.7,0.078990671,0.7,0.7
0.72,0.073056556,0.72,0.72
0.74,0.06817547,0.74,0.74
0.76,0.064096069,0.76,0.76
0.78,0.060638762,0.78,0.78
0.8,0.057672782,0.8,0.8
0.82,0.055101357,0.82,0.82
0.84,0.052851741,0.84,0.84
0.86,0.05086837,0.86,0.86
0.88,0.049108131,0.88,0.88
0.9,0.047537051,0.9,0.9
0.92,0.046127966,0.92,0.92
0.94,0.044858863,0.94,0.94
0.96,0.043711675,0.96,0.96
0.98,0.042671404,0.98,0.98
1,0.041725473,1,1
