/Out1 X,/Out1 Y,/Out2 X,/Out2 Y
0,0.999972176,0,0.495804385
0.02,0.999956205,0.02,0.474772339
0.04,0.999929479,0.04,0.452767885
0.06,0.999884858,0.06,0.430015631
0.08,0.999810523,0.08,0.406789277
0.1,0.999687021,0.1,0.383402287
0.12,0.999482671,0.12,0.360179674
0.14,0.999146047,0.14,0.337410231
0.16,0.998594541,0.16,0.315298858
0.18,0.997697016,0.18,0.293948554
0.2,0.996248136,0.2,0.27337881
0.22,0.993931377,0.22,0.253557293
0.24,0.990267018,0.24,0.234422288
0.26,0.984540069,0.26,0.215891459
0.28,0.97569817,0.28,0.197862246
0.3,0.962190359,0.3,0.180209615
0.32,0.941614748,0.32,0.162785784
0.34,0.909980005,0.34,0.145427254
0.36,0.858850406,0.36,0.127978726
0.38,0.769469093,0.38,0.110347989
0.4,0.654757799,0.4,0.092624285
0.42,0.569303991,0.42,0.075315867
0.44,0.505263443,0.44,0.059520741
0.46,0.44907582,0.46,0.046277772
0.48,0.396551687,0.48,0.035765376
0.5,0.346597415,0.5,0.027586674
0.52,0.298984425,0.52,0.021242589
0.54,0.253985999,0.54,0.016306285
0.56,0.212401572,0.56,0.012449848
0.58,0.175749566,0.58,0.009430203
0.6,0.14601683,0.6,0.007068123
0.62,0.123855241,0.62,0.005229703
0.64,0.107702787,0.64,0.003812179
0.66,0.095634204,0.66,0.002733868
0.68,0.086338368,0.68,0.001927494
0.7,0.078990671,0.7,0.001336212
0.72,0.073056556,0.72,0.000911603
0.74,0.06817547,0.74,0.000612914
0.76,0.064096069,0.76,0.000406787
0.78,0.060638762,0.78,0.000266924
0.8,0.057672782,0.8,0.000173397
0.82,0.055101357,0.82,0.000111645
0.84,0.052851741,0.84,7.13E-05
0.86,0.05086837,0.86,4.53E-05
0.88,0.049108131,0.88,2.87E-05
0.9,0.047537051,0.9,1.82E-05
0.92,0.046127966,0.92,1.16E-05
0.94,0.044858863,0.94,7.49E-06
0.96,0.043711675,0.96,4.98E-06
0.98,0.042671404,0.98,3.46E-06
1,0.041725473,1,2.56E-06
